OBJECTID1,OBJECTID,ID,CAL_YEAR,CAL_QTR,Sector,CENSUS_TRACT,GRPD_NUMBER_ACCTS,USAGE_MMBTU,EMISSIONS_MTCO2E,RSE_Quintile,USAGEPERCAPITA_MMBTU,EMISSIONSPERCAPITA_MTCO2E,Ind_Grp_Flag,SHAPE_Length,SHAPE_Area
46,105,17-3-R-000402,2017,Q3,Residential,53033000402,1953,12639.17733306,77.9102230100862,Middle,6.47167298159754,0.0398925873067517,0,21397.1748866823,19362168.1758264
47,105,17-4-C-000402,2017,Q4,Commercial,53033000402,144,9926.24623758,61.1872147722809,Middle,68.93226553875,0.424911213696395,0,21397.1748866823,19362168.1758264
48,105,17-4-R-000402,2017,Q4,Residential,53033000402,1959,19045.1323812,117.397712839643,Middle,9.72186441102603,0.0599273674525999,0,21397.1748866823,19362168.1758264
49,105,18-1-C-000402,2018,Q1,Commercial,53033000402,143,10797.02436558,46.0013587446092,Middle,75.5036668921678,0.321687823388876,0,21397.1748866823,19362168.1758264
50,105,18-1-R-000402,2018,Q1,Residential,53033000402,1955,20631.30319374,87.9008833776076,Middle,10.5530962627826,0.0449620886841983,0,21397.1748866823,19362168.1758264
51,105,18-2-C-000402,2018,Q2,Commercial,53033000402,145,10717.7876505,45.66376604937,Middle,73.9157769,0.314922524478414,0,21397.1748866823,19362168.1758264
52,105,18-2-R-000402,2018,Q2,Residential,53033000402,1950,13613.19999318,57.9998410066332,Middle,6.98112820163077,0.0297435082085298,0,21397.1748866823,19362168.1758264
53,105,18-3-C-000402,2018,Q3,Commercial,53033000402,144,9529.62590826,40.6015329098724,Middle,66.17795769625,0.281955089651892,0,21397.1748866823,19362168.1758264
54,105,18-3-R-000402,2018,Q3,Residential,53033000402,1947,11898.1492407,50.692766181318,Middle,6.11101655916795,0.0260363462667273,0,21397.1748866823,19362168.1758264
55,105,18-4-C-000402,2018,Q4,Commercial,53033000402,143,10275.75514992,43.7804605248608,Middle,71.8584276218182,0.306157066607418,0,21397.1748866823,19362168.1758264
56,105,18-4-R-000402,2018,Q4,Residential,53033000402,1950,17871.48929466,76.1425335822084,Middle,9.16486630495385,0.0390474531190812,0,21397.1748866823,19362168.1758264
57,105,19-1-C-000402,2019,Q1,Commercial,53033000402,141,9689.38230306,53.5444744915598,Middle,68.7190234259574,0.379748046039431,0,21397.1748866823,19362168.1758264
58,105,19-1-R-000402,2019,Q1,Residential,53033000402,1946,20711.3144646,114.452749860662,Middle,10.6430187382323,0.0588143627238754,0,21397.1748866823,19362168.1758264
59,105,19-2-C-000402,2019,Q2,Commercial,53033000402,142,8888.3687895,49.117995454742,Middle,62.5941464049296,0.345901376441845,0,21397.1748866823,19362168.1758264
60,105,19-2-R-000402,2019,Q2,Residential,53033000402,2002,13096.987569,72.375234547524,Middle,6.54195183266733,0.036151465807954,0,21397.1748866823,19362168.1758264
61,105,19-3-C-000402,2019,Q3,Commercial,53033000402,143,9093.87856956,50.2536626037938,Middle,63.5935564304895,0.351424214012544,0,21397.1748866823,19362168.1758264
62,105,19-3-R-000402,2019,Q3,Residential,53033000402,2078,11867.31031938,65.5799177702785,Middle,5.7109289313667,0.0315591519587481,0,21397.1748866823,19362168.1758264
63,105,19-4-C-000402,2019,Q4,Commercial,53033000402,143,8988.1909452,49.6696224524592,Middle,62.8544821342657,0.347340017150064,0,21397.1748866823,19362168.1758264
64,105,19-4-R-000402,2019,Q4,Residential,53033000402,2093,18713.61909522,103.413289820583,Middle,8.94105069050167,0.0494091207933985,0,21397.1748866823,19362168.1758264
65,105,20-1-C-000402,2020,Q1,Commercial,53033000402,143,9038.25386328,23.5974222201818,Middle,63.2045724704895,0.16501693860267,0,21397.1748866823,19362168.1758264
66,105,20-1-R-000402,2020,Q1,Residential,53033000402,2091,21114.87167454,55.1275223694877,Middle,10.0979778453085,0.0263641905162543,0,21397.1748866823,19362168.1758264
67,105,20-2-C-000402,2020,Q2,Commercial,53033000402,142,7101.98383818,18.5421336649226,Middle,50.0139706914084,0.130578406091004,0,21397.1748866823,19362168.1758264
68,105,20-2-R-000402,2020,Q2,Residential,53033000402,2093,15198.36422442,39.6804762385366,Middle,7.26152136857143,0.0189586604101943,0,21397.1748866823,19362168.1758264
69,105,20-3-C-000402,2020,Q3,Commercial,53033000402,141,7180.25491764,18.7464868218029,Middle,50.9237937421277,0.132953807246829,0,21397.1748866823,19362168.1758264
70,105,20-3-R-000402,2020,Q3,Residential,53033000402,2100,13289.71547262,34.697302370271,Middle,6.32843593934286,0.0165225249382243,0,21397.1748866823,19362168.1758264
